case_idx,conv_id,user_message,model,provider,tool_match,tools_called,ref_tools,expected_tools,input_tokens,output_tokens,total_tokens,elapsed_s,response_preview,error
13,rltcf4OIKJX2XISzXaR9,18 dollars at Trader Joes,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5121,82,5203,4.69,To save this expense I need your Firebase auth token to authenticate.  Please reply with: auth: YOUR,
13,rltcf4OIKJX2XISzXaR9,18 dollars at Trader Joes,gemini-3.1-pro-preview,google,DIFF,"save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",42108,470,42578,101.69,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 26.235627607s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-pro'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '26s'}]}}"
13,rltcf4OIKJX2XISzXaR9,18 dollars at Trader Joes,gemini-3-flash-preview,google,DIFF,"save_expense, get_categories, get_categories, save_expense, save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",32644,329,32973,64.83,Saved $18 Trader Joe's (GROCERIES) - now at 54% of GROCERIES budget used ($183.00 left),
14,fGhSm2TdFPnJmA8G09kl,70 dollars at amazon,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","get_categories, save_expense, get_budget_status",23390,334,23724,21.15,Saved $70 Amazon purchase (OTHER) - now at $437.11 over budget in OTHER.  Warning: You are OVER your,
14,fGhSm2TdFPnJmA8G09kl,70 dollars at amazon,claude-haiku-4-5,anthropic,DIFF,(none),"get_budget_status, save_expense","get_categories, save_expense, get_budget_status",7604,81,7685,5.65,I need a bit more information to save this expense:  1. What date was this purchase? (today is 2/21/,
14,fGhSm2TdFPnJmA8G09kl,70 dollars at amazon,gpt-5-mini,openai,DIFF,"get_categories, get_categories, save_expense, get_budget_status","get_budget_status, save_expense","get_categories, save_expense, get_budget_status",27391,3693,31084,85.87,"Saved $70 Amazon purchase (OTHER) - now at $437.11 in OTHER, $437.11 total Warning: 437% of OTHER bu",
14,fGhSm2TdFPnJmA8G09kl,70 dollars at amazon,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","get_categories, save_expense, get_budget_status",5119,84,5203,8.62,"To save this expense I need your auth token.   Reply with: token: YOUR_FIREBASE_ID_TOKEN  Also, conf",
14,fGhSm2TdFPnJmA8G09kl,70 dollars at amazon,gemini-3.1-pro-preview,google,DIFF,"save_expense, save_expense","get_budget_status, save_expense","get_categories, save_expense, get_budget_status",10237,108,10345,29.6,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 22.973110023s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'model': 'gemini-3.1-pro', 'location': 'global'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '22s'}]}}"
14,fGhSm2TdFPnJmA8G09kl,70 dollars at amazon,gemini-3-flash-preview,google,DIFF,"save_expense, save_expense, get_budget_status, get_budget_remaining","get_budget_status, save_expense","get_categories, save_expense, get_budget_status",21298,236,21534,41.08,"Saved $70 Amazon purchase (OTHER) - now at $437.11 in OTHER, $2898.13 total Warning: 437% of OTHER b",
15,fGhSm2TdFPnJmA8G09kl,40 dollars to see Eli in Concert,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23584,326,23910,13.9,Saved $40 Eli concert tickets (OTHER) - now at $437.11 in OTHER.  Warning: OVER BUDGET - 407% of OTH,
15,fGhSm2TdFPnJmA8G09kl,40 dollars to see Eli in Concert,claude-haiku-4-5,anthropic,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",7666,101,7767,4.13,"I need your authentication token to save this expense. However, I can help you log this once you pro",
15,fGhSm2TdFPnJmA8G09kl,40 dollars to see Eli in Concert,gpt-5-mini,openai,DIFF,"get_categories, save_expense, get_categories, get_categories, get_categories, save_expense, save_expense, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",52703,7414,60117,128.7,"Saved $40 Eli concert ticket (OTHER) - now at $437.11 in OTHER, total spending updated Alert: OVER B",
15,fGhSm2TdFPnJmA8G09kl,40 dollars to see Eli in Concert,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5178,99,5277,6.75,"I can save that, but I’m missing your auth token to log it in your account.  Reply with: auth: YOUR_",
15,fGhSm2TdFPnJmA8G09kl,40 dollars to see Eli in Concert,gemini-3.1-pro-preview,google,DIFF,"save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",53585,570,54155,83.92,[max turns reached],
15,fGhSm2TdFPnJmA8G09kl,40 dollars to see Eli in Concert,gemini-3-flash-preview,google,DIFF,"get_categories, save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",21451,181,21632,39.19,"Saved $40 Eli in Concert (OTHER) - now at $407.11 in OTHER, total spending updated  Alert: OVER BUDG",
16,UriZYOBVllQLpK3r15uT,108 at TJs,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23413,324,23737,19.19,"Saved $108 Trader Joe's groceries (GROCERIES) - now at $407 in GROCERIES, budget 77% used ($93 left)",
16,UriZYOBVllQLpK3r15uT,108 at TJs,claude-haiku-4-5,anthropic,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",7604,83,7687,5.29,"I need a bit more information to save this expense:  1. What's the full name/description? (e.g., ""Tr",
16,UriZYOBVllQLpK3r15uT,108 at TJs,gpt-5-mini,openai,DIFF,"get_categories, save_expense, save_expense, save_expense, get_categories, get_categories, save_expense, get_categories, get_categories, get_categories","get_budget_status, save_expense","save_expense, get_budget_status",57439,5859,63298,102.26,[max turns reached],
16,UriZYOBVllQLpK3r15uT,108 at TJs,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5119,111,5230,7.51,"I can save that, but I need your auth token to do it.  Reply with: auth: YOUR_FIREBASE_ID_TOKEN  The",
16,UriZYOBVllQLpK3r15uT,108 at TJs,gemini-3.1-pro-preview,google,DIFF,"save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",53101,596,53697,70.74,[max turns reached],
16,UriZYOBVllQLpK3r15uT,108 at TJs,gemini-3-flash-preview,google,DIFF,"save_expense, get_budget_status, get_budget_remaining, save_expense, save_expense, get_categories, save_expense, get_budget_status, save_expense, get_budget_status, save_expense, get_budget_status, save_expense, save_expense, get_budget_remaining, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",54725,836,55561,108.51,[max turns reached],
17,UMbhksf3FI3du0T7e9oV,10 dollars on Soloway coffee,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23423,336,23759,12.66,"Saved $10 Soloway coffee (COFFEE) - now at $10 in COFFEE, $10 total  Warning: You are OVER your COFF",
17,UMbhksf3FI3du0T7e9oV,10 dollars on Soloway coffee,claude-haiku-4-5,anthropic,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",7607,51,7658,2.09,I need your Firebase Auth ID token to save this expense. Could you please provide your auth token?  ,
17,UMbhksf3FI3du0T7e9oV,10 dollars on Soloway coffee,gpt-5-mini,openai,DIFF,"get_categories, get_categories, save_expense, save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",33168,4704,37872,101.65,"Saved $10 Soloway coffee (COFFEE) - now at $87.33 in COFFEE, $87.33 total Warning: 174% of COFFEE bu",
17,UMbhksf3FI3du0T7e9oV,10 dollars on Soloway coffee,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5122,114,5236,7.07,"Got it—let’s save this, but I need your auth token to do it.  Reply with your Firebase Auth ID token",
17,UMbhksf3FI3du0T7e9oV,10 dollars on Soloway coffee,gemini-3.1-pro-preview,google,DIFF,"save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",47592,527,48119,111.65,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 21.700417757s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'model': 'gemini-3.1-pro', 'location': 'global'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '21s'}]}}"
17,UMbhksf3FI3du0T7e9oV,10 dollars on Soloway coffee,gemini-3-flash-preview,google,DIFF,"save_expense, get_budget_status, get_budget_remaining","get_budget_status, save_expense","save_expense, get_budget_status",16084,194,16278,26.82,"Saved $10 Soloway coffee (COFFEE) - now at $77.14 in COFFEE, $2828.13 total Warning: OVER BUDGET! 15",
18,beY9ncdtcYSZt1WQqvbG,74 dollars on Dinner at Tutto Fresco,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23440,343,23783,22.62,"Saved $74 Tutto Fresco dinner (FOOD_OUT) - now at $511.08 in FOOD_OUT, total updated.  Warning: 85% ",
18,beY9ncdtcYSZt1WQqvbG,74 dollars on Dinner at Tutto Fresco,claude-haiku-4-5,anthropic,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",7611,72,7683,5.49,I need your Firebase auth token to save this expense. Could you please provide your auth token?  Onc,
18,beY9ncdtcYSZt1WQqvbG,74 dollars on Dinner at Tutto Fresco,gpt-5-mini,openai,DIFF,"get_categories, get_categories, save_expense, get_categories, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",33563,3556,37119,84.55,"Saved $74 Tutto Fresco dinner (FOOD_OUT) - now at $74 in FOOD_OUT, $74 total",
18,beY9ncdtcYSZt1WQqvbG,74 dollars on Dinner at Tutto Fresco,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5124,93,5217,7.0,To save this expense I need your auth token.    Reply with something like: token: YOUR_FIREBASE_ID_T,
18,beY9ncdtcYSZt1WQqvbG,74 dollars on Dinner at Tutto Fresco,gemini-3.1-pro-preview,google,OK,"save_expense, save_expense, get_budget_status, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",16076,229,16305,48.23,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 26.411286823s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-pro'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '26s'}]}}"
18,beY9ncdtcYSZt1WQqvbG,74 dollars on Dinner at Tutto Fresco,gemini-3-flash-preview,google,DIFF,"save_expense, save_expense, save_expense, get_categories, save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",31743,362,32105,67.52,Saved $74 Tutto Fresco dinner (FOOD_OUT) - now at $503.88 in FOOD_OUT Warning: 85% of FOOD_OUT budge,

=== MODEL SUMMARY ===
model,provider,pass_rate,score,grade,avg_elapsed_s,total_tokens,total_input_tokens,total_output_tokens,avg_input_tokens,avg_output_tokens,errors
claude-sonnet-4-6,anthropic,18/18,100.0,A,16.95,370474,362758,7716,20153,429,0
claude-haiku-4-5,anthropic,6/18,33.3,F,8.85,208767,205206,3561,11400,198,0
gpt-5-mini,openai,4/18,22.2,F,78.29,693728,626564,67164,34809,3731,0
gpt-5.1,openai,3/18,16.7,F,7.87,126388,124304,2084,6906,116,0
gemini-3.1-pro-preview,google,5/18,27.8,F,58.9,484752,478685,6067,26594,337,10
gemini-3-flash-preview,google,5/18,27.8,F,40.22,436883,431333,5550,23963,308,0

=== SCORING KEY ===
Score = % of test cases where tool selection exactly matches the reference model (claude-sonnet-4-6)
Grades: A=90-100  B=80-89  C=70-79  D=55-69  F=0-54
Run: 2026-02-21 16:58:47
